SquareFeet,Bedrooms,Bathrooms,Neighborhood_Category,YearBuilt,Price
0.25,0.67,0.5,0.5,0.75,162271.0864
0.38,0.33,0.5,0,0.96,240727.0397
0.2,0.33,0,0.5,0.7,186900.9464
0.44,0.67,1,0,0.11,208692.1498
0.4,0.33,0,0,0.18,114333.6939
0.2,1,0.5,0,0.77,225281.3242
0.1,0,0,1,0.46,110852.4526
0.52,0,1,0,0,206119.1817
0.94,0.67,0,1,0.52,292218.3734
0.79,0.67,0.5,1,0.23,209166.2973
0.45,0,1,1,0.21,283220.1087
0.74,0,1,0.5,0.66,354538.8214
0.86,0.67,1,0,0.69,290954.4918
0.8,0.33,1,0.5,0.99,207377.5555
0.43,0.67,1,1,0.56,267934.0926
0.37,1,0,0.5,0.61,235034.8998
0.63,0.67,1,1,0.2,246611.8831
0.28,0.67,0.5,0.5,0.85,314867.6516
0.51,0.67,1,1,0.69,278092.7571
0.05,0.67,0.5,1,0.72,88443.38397
0.96,0.67,0.5,0.5,0.72,235396.4545
0.88,0.67,0.5,1,0.49,280503.8129
0.24,0.33,0.5,0,0.45,273072.3373
0.72,0.67,0.5,0.5,0.62,252666.8483
0.12,0,0,0.5,0.01,133914.4068
0.37,0.67,0.5,1,0,142717.8302
0.84,0.33,0.5,0.5,0.97,266197.0444
0.6,1,0.5,0,0.65,245433.6945
0.27,0,0,0.5,0.89,177796.403
0.53,0.67,1,0,0.24,226582.2743
0.26,0.67,0.5,0.5,0.75,170745.4653
0.59,0,0,0,0.48,194059.3707
0.93,0.67,0,0.5,0.82,347187.4093
0.86,0.33,0,0,0.49,345978.9789
0.63,0.67,1,1,0.35,323981.508
0.55,1,0,0.5,0.62,185909.9016
0.91,0.33,0.5,0.5,0.96,231642.4153
0.29,0.67,0.5,0,0.41,181472.0115
0.34,1,0.5,0.5,0.45,247683.3818
0.28,0,1,0,0.31,174119.7797
0.8,0.33,0,1,0.28,249931.3819
0.99,0.67,0.5,0,0.87,352084.0473
0.51,0.67,0.5,0.5,0.97,356256.9103
0.32,0,0.5,1,0.94,115738.6024
0.4,0,1,0,0.49,265399.2764
0.53,0.33,0.5,0,0.51,205543.4525
0.82,0.33,0,1,0,248155.8717
0.79,0.33,0,0.5,0.35,318796.3968
0.68,0.67,1,0.5,0.58,254479.256
0.91,0.67,1,0.5,0.55,248782.2169
0.99,0.33,1,1,0.73,320922.1762
0.68,0.67,0,0,0.86,265274.004
0.83,0,1,1,0.61,283301.9362
0.76,1,1,0,0.49,291195.6713
0.69,0.67,0,1,0.04,240277.0098
0.75,0.33,0.5,0,0.28,316708.5954
0.63,0.67,1,0,0.23,267724.6993
0.09,0,0.5,1,0.21,52033.75929
0.62,0.33,0.5,1,0.56,157260.9835
0.7,1,0.5,1,0.76,349887.3872
0.7,0.33,0.5,0,0.79,302581.5244
0.65,0.33,1,1,0.92,267740.4347
0.99,0.33,1,0,0.52,296942.7544
0.32,0.67,1,0,0.77,211665.6222
0.31,1,0,1,0.51,240462.6778
0.49,0,0,0.5,0.69,221900.7731
0.88,0.67,0.5,0.5,0.76,337510.5084
0.64,1,0,0,0,351438.5468
0.69,1,0.5,0,0.9,207718.7412
0.35,0.67,0.5,0.5,0.9,187379.3901
0.74,0.33,1,0,0.61,325104.8264
0.72,1,1,0.5,0.15,234064.5137
0.32,0,0,0,0.73,168976.4954
0.16,0.67,1,0,0.85,72491.39026
0.85,1,0,1,0.17,397825.3364
0.62,0,1,0.5,0.58,224680.0524
0.92,0,1,0,0.63,297609.7185
0.63,0,0,0.5,0.58,211357.5631
0.34,0,0.5,1,0.21,191156.3841
0.33,0.67,0,0.5,0.61,198444.2855
1,0,1,0,0.97,227602.8452
0.93,0.67,0.5,0.5,0.21,227374.5843
0.7,0,1,1,0.3,311492.2466
0.85,0,1,0.5,0.48,341035.6518
0.82,0.67,1,0.5,0.68,329215.4127
0.75,0.33,0.5,0.5,0.99,189722.895
0.63,1,1,0.5,0.89,315304.2483
0.86,1,0,0,0.42,229019.4795
0.57,0.67,0,0.5,0,218041.2171
0.93,0,0,1,0.34,256367.8643
0.76,0.67,0.5,0.5,0.27,427589.087
0.22,0,0,1,0.1,161116.8187
0.28,0.67,1,1,0.89,182494.886
0.65,1,0.5,1,0.21,276165.9051
0.77,0.67,1,1,0.76,314516.613
0.92,1,1,0,0.35,272012.2652
0.7,1,1,0.5,0.9,342249.5423
0.71,1,0,0.5,0.38,258023.511
0.57,0.67,0,0,0.63,115459.882
0.82,0.33,0.5,0.5,0.75,240419.9739
0.82,0.67,0.5,0,0.75,388951.7892
0.48,0.67,0,1,1,250119.2129
0.55,0.33,0,0.5,0.68,210586.9765
0.35,0.33,1,1,0.63,234243.6244
0.06,1,0,0.5,0,69293.96649
0,0,1,0.5,0.61,163837.6824
0.32,0,0,0.5,0.04,252127.9863
0.11,1,1,1,0.42,117989.3568
0.79,0.67,0,0,0.2,313948.4453
0.43,0,0,1,0,254919.2752
0.88,0.67,0.5,0,1,197521.8272
0.62,0.33,0.5,0.5,0.07,198494.0403
0.19,0.33,1,0.5,0.37,152204.7559
0.71,1,0.5,0.5,0.35,308529.3077
0.83,0.67,0.5,0.5,0.92,308854.901
0.58,1,0,1,0.17,246860.55
0.54,0,1,0,0.99,225867.2386
0.85,0,0.5,0,0.46,249678.2289
0.36,0,0.5,0,0.45,108636.4752
0.85,0.67,0,0.5,0.55,299818.5608
0.87,1,0,1,0.59,290094.597
0.72,1,0,0.5,0.08,272077.8727
0.12,0,1,0,0.54,130941.4829
0.42,1,0,1,0.92,241849.2415
0.73,0.33,1,1,0.49,206273.3001
0.1,0.33,0,0.5,0.89,155086.4599
0.6,0.33,0.5,1,0.04,169742.8703
0.06,0.33,1,1,0.3,148324.4032
0.2,1,0,1,0.99,184460.0434
0.38,0.33,0,0.5,0.04,138095.4799
0.15,0.33,0.5,0.5,0.89,205414.9105
0.14,0.33,0.5,1,0.3,183265.399
0.93,0.33,0.5,0.5,0.86,284616.4673
0.44,0.33,0,1,0.55,181947.6429
0.82,0.67,0.5,0,0.27,284003.7694
0.1,0.67,0.5,0,0.11,90959.78933
0.49,0.33,1,1,0.9,198755.1464
0.97,0.33,1,0,0.31,370459.829
0.77,1,1,0,0.48,348379.2665
0.38,0.33,0,0,0.82,270704.1541
0.07,0,1,1,0.18,168931.8286
0.3,0.67,0,0.5,0.61,189126.0514
0.61,0.33,0.5,1,0.3,218168.7081
0.57,0.67,0,1,0.38,199220.1955
0.09,0.33,0,0.5,0.82,129960.0168
0.67,0,0.5,1,0.65,281507.745
0.23,0.33,1,1,0.94,169378.7848
0.69,0.67,1,1,0.97,248599.1077
0.9,0.67,1,0,0.23,411678.0284
0.33,0.67,0.5,1,0.42,119032.883
0.38,1,0,1,0.18,230075.0498
0.48,0.67,0.5,0.5,0.68,122604.9562
0.98,0.33,0.5,0,0.93,296998.8381
0.2,0,0.5,0,0.28,109470.1427
0.68,0,0.5,1,0.17,246212.1973
0.99,0.33,0,0,0.69,310583.0759
0.77,1,1,0,0.94,233756.8864
0.07,0.33,1,0.5,0.15,100102.2252
0.59,0.67,0.5,0.5,0.66,199324.8407
0.43,1,0,0,0.89,331026.5964
0.87,0.33,0.5,0.5,0.2,231041.3484
0.92,1,0,1,0.21,333530.0634
0.24,0,0.5,0.5,1,61092.66123
0.46,0.33,1,1,0.69,205778.3124
0.98,0.33,1,0.5,0.56,384570.7365
0.83,0,0.5,0,0.04,339772.9527
0.28,1,1,1,0.27,186745.1296
0.17,0,0.5,0.5,0.1,185559.0802
0.44,1,0,0.5,0.94,213894.3146
0.32,0.33,0,1,0.65,180978.0157
0.9,1,0,0.5,0.45,243011.5747
0.99,1,0,0,0.06,265075.9482
0.24,0.67,0.5,1,0.94,163315.127
0.98,0.67,1,0,0.56,384847.0499
0.08,0.67,0,1,0.85,190479.1989
0.72,0,1,1,0.32,204129.2143
0.66,0,0.5,1,0.37,249930.1176
0.82,0.67,1,1,0.39,372750.4748
0.13,0.33,1,0,0.93,189650.2011
0.89,0.33,1,0,0.51,308299.3121
0.07,0.33,0.5,1,0.73,95784.07402
0.17,0,0.5,1,0.01,165456.1184
0.31,1,0.5,0,0.51,236531.6655
0.51,0,1,1,1,212190.7549
0.8,0.67,0,1,0.9,298280.3607
0.44,1,0,0,0.66,172765.2509
0,0.33,1,0,0.68,151917.3536
0.45,0,0,0,0.65,196497.0693
0.66,0,0,0.5,0.04,212603.1702
0.13,0.67,1,1,0.03,205827.9137
0.84,0.33,0.5,0,0.49,350608.1323
0.23,0,0,1,0.07,64055.91438
0.53,0,0.5,0.5,0.46,202645.4687
0.59,1,0,0,0.72,215636.3058
0.51,0,1,0,0.42,210336.9815
0,1,1,1,0.46,161063.7361
0.63,0,0.5,1,0.58,162732.681
0.56,0.33,0.5,0,0.66,283190.3906
0.84,0.67,0.5,0,0.77,257018.5571
0.41,0.33,0.5,1,0.24,161315.0888
0.1,0.67,1,1,0.18,171344.5126
0.58,0,1,0,0.96,301758.3278
0.2,0.33,1,0.5,0.8,186512.3187
0.08,1,0.5,1,0.97,147961.7399
0.03,0.67,1,1,0.77,96856.09323
0.57,0.67,1,1,0.73,241976.2417
0.85,0,0,0,0.96,256546.8458
0.97,0.67,0,0,0.83,245612.125
0.31,0.67,0,0,0.44,192616.9107
0.29,0.67,0.5,1,0.65,234537.6253
0.82,0,0.5,1,0.3,266525.8016
1,0.33,1,0.5,0.04,411274.8172
0.72,0,1,0,0.34,241617.2738
0.72,1,0.5,0,0.85,230463.8154
0.05,0.67,0,1,0.15,249885.947
0.94,0.67,1,1,0.42,320712.1739
0.13,0.33,0,0.5,0,131536.1636
0.63,0.67,1,1,0.85,258681.6486
0.57,0.33,0,1,0.07,236721.5797
0.25,0.67,1,1,0.3,152417.9594
0.75,0.67,0,0.5,0.15,277449.0164
0.05,0,0,0.5,0.31,97639.6442
0.08,0,0.5,0.5,0.48,68864.72804
0.94,1,1,0.5,0.18,292602.0202
0.46,0.33,0,0.5,0.41,163126.6346
0.96,1,0.5,0,0.3,316117.1566
0.44,0,1,1,0.21,173591.5158
0.17,0.33,0.5,0.5,0.99,245240.8693
0.86,0,0,0.5,0.2,299136.081
0.41,0.33,1,0.5,0.01,102620.9118
0.59,0.67,0,0.5,0.3,174740.9101
0.87,1,0,1,0.87,303839.7622
0.48,1,0.5,1,0.2,255500.6503
0.85,0.33,0,0,0.25,305226.148
0.08,1,1,1,0.28,174048.9196
0.8,0,0.5,0.5,0.37,240369.9407
0.4,1,0,0.5,0.25,310732.593
0.2,0.33,0,0.5,0.35,125680.0817
0.65,1,0,0.5,0.68,303253.7531
0.41,1,0.5,1,0.8,137931.9766
0.97,0,1,1,0.93,238181.4446
0.76,0.67,0.5,0,0.34,299144.4834
0.96,0,0,1,0.3,340122.3587
0.71,1,0.5,0.5,0.18,230193.1787
0.58,1,0,0.5,0.11,300494.8966
0.61,0.67,0.5,1,0.3,267560.2688
0.2,0.67,0,0,0.2,173748.309
0.32,0,0.5,0,0.55,198112.8732
0.53,0.67,0,1,0.9,237224.4282
0.34,0,0,1,0.73,130383.6498
0.23,0.33,0.5,1,0.42,248587.2901
0.48,1,0.5,0.5,0.13,268826.741
0.95,0.67,0,1,0.46,307426.1376
0.23,0.33,1,1,0.51,224293.9722
0.7,0.33,0,0,0.17,335992.3788
0.52,0,0,0,0.52,265649.0843
0.37,0,1,0.5,0.62,218960.6472
0.85,0.67,0,0,0.13,257512.5585
0.02,0,0.5,0,0.3,86619.30466
0.11,0.33,0.5,1,0.85,48780.11213
0.69,0.33,1,0,0.52,274896.2616
0.28,1,0,0,0.8,181237.8317
0.22,0.33,0.5,0,0.35,49052.37096
0.9,0.67,0,0,0.68,182649.2383
0.65,1,1,0,0.86,347942.0053
0.01,0,0.5,0,0.11,31998.01568
0.11,1,1,0,0.83,181103.2635
0.65,0.33,0,0,0.41,172216.0833
0.4,0.67,0,0.5,0.28,273262.8517
0.82,0,0,1,0.69,306987.0516
0.14,0,1,0,0.39,172933.772
0.44,0.33,0.5,1,0.55,159685.4467
0.48,0.67,1,0,0.23,244916.4658
0.75,0.33,0.5,0.5,0.94,250927.6416
0.23,0.33,0,0,0.89,86276.33242
0.51,0.67,0,0.5,0.31,209029.9486
0.93,0.33,1,0,0.08,267060.0308
0.41,0.67,0.5,0,0.46,158867.8199
0.33,0.67,0,1,0.32,200254.7187
0.77,0.33,0,0,0.08,197039.3949
0.27,0.33,1,0,0.1,251427.1554
0.61,1,1,0.5,0.03,298798.8575
0.54,0,0.5,1,0.04,209615.3838
0.77,0,0,0,0.87,343628.2296
0.01,0.67,0.5,1,0.92,86742.69816
0.6,1,0.5,1,0.96,260504.8307
0.62,0.67,0.5,0,0.13,267664.3312
0.08,1,1,0,0.87,87137.89045
0.24,0.67,0.5,0,0.51,217625.4427
0.53,0,0.5,0,1,179619.6811
0.7,1,0.5,0,0.03,304272.5428
0.26,0.33,1,1,0.39,180446.9392
0.05,0.33,1,0.5,0.86,96810.15544
0.96,0,0,1,0.45,293526.3479
0.88,1,1,0,0.83,333027.9076
0.53,0.33,1,1,0.58,261561.3314
0.14,0.33,0.5,0.5,0.86,60826.53009
0.69,0.33,0,1,0.07,278442.1635
0.25,0,1,0,0.68,123828.1036
0.15,0.67,0,0,1,88586.0573
0.09,0.33,0.5,0,0.59,134443.8975
0.3,0.33,1,0.5,0.11,136925.1708
0.56,0.67,0.5,0,0.7,234164.891
0.35,0.33,0.5,0,0.18,150304.5494
0.5,1,0,0,0.32,240050.496
0.57,0.33,1,0,1,277542.7035
0.1,0.67,0,1,0.45,197241.2518
0.13,0,0.5,0,0.39,101805.5981
0.49,0,1,1,0.01,197810.6223
0.46,1,0.5,0.5,0.72,172279.0649
0.59,0.33,0,1,0.62,205236.2839
0.64,0.33,0,1,0.52,206408.5332
0.67,0.67,0.5,1,0.62,279439.9844
0.06,0.67,0,1,0.21,127174.7226
0.01,1,0,1,0.65,127458.039
0.91,1,0.5,1,0.34,356063.8292
0.88,0.33,1,0.5,0.79,344787.6194
0.28,0.33,1,0,0.25,153282.8516
0.28,1,1,0.5,0.52,23125.99668
0.67,0,0.5,1,0.92,297939.7232
0.95,0,0.5,1,0.08,348536.6136
0.34,0,0,1,0.27,145096.7349
0.91,0,1,0.5,0.04,316533.4622
0.31,1,0,1,0.2,273166.56
0.66,0.67,0.5,0.5,0.89,343467.4139
0.98,0,1,1,0.79,258865.9613
0.43,1,0.5,1,0.69,197763.0653
0.84,0,0,0.5,0.23,196431.1618
0.48,0.33,0,0.5,0.21,192271.5714
0.83,0,0.5,0.5,0.03,252805.9847
0.08,1,0.5,0.5,0.62,20075.48609
0.24,0.33,1,1,0.61,225167.5423
0.7,0.33,0.5,1,0.86,333108.7015
0.39,0,0,0,0.11,253462.8412
0.56,0,0,1,0.83,273921.2443
0.98,0.33,0.5,1,0.79,230500.4506
0.71,0.67,0.5,1,0.85,361696.081
0.92,1,1,1,0.89,319789.8466
0.12,1,0,1,0.23,174765.2567
0.6,1,0,0,0.8,300718.8166
0.53,1,0,0.5,0.65,261326.8509
0.75,1,0.5,1,0.72,363561.9094
0.85,0.33,0,1,0.24,251734.589
0.38,1,0.5,0.5,0.51,280965.895
0.27,0.67,1,0.5,0.97,110904.3256
0.95,0.67,0.5,0,0.23,335743.3089
0.92,0,1,0,0.03,276296.3369
0.46,0,1,0,0.45,222212.1321
0.2,0,0.5,0.5,0.08,221697.8157
0.26,0,1,1,0.01,223582.3849
0.41,0.33,0.5,0.5,0.46,206212.7926
0.76,0.67,0,1,0.04,214945.5948
0.45,0.33,0.5,0.5,0.68,152143.2966
0.92,0.67,1,0.5,0.23,376480.3015
0.02,0.33,1,0.5,0.99,135298.4457
0.34,0.67,0,0.5,0.15,160232.4203
0.01,0,0.5,1,0.61,70855.37072
0.16,0.67,0,1,0.68,183736.727
0.9,0,1,1,0.96,388318.7211
0.26,0.67,0.5,1,0.23,165073.7156
0.2,0.33,1,0,0.52,213210.0434
0.33,1,0.5,0,0.77,140382.8723
0.49,0.67,0,0.5,0.85,260495.0847
0.95,0.33,0,1,0.44,385304.7145
0.24,1,1,1,0.77,144254.7959
0.58,0.33,0,0.5,0.31,277469.1074
0.56,1,0,0.5,0.92,252361.1315
0.69,0,1,0.5,0.93,256202.9962
0.42,0.67,1,1,0.06,139343.7275
0.91,0.33,1,1,0.31,246154.6873
0.36,0.67,0.5,1,0.7,218372.9302
0.99,0,1,0,0.34,309839.6921
0.43,0,0.5,0.5,0.32,219293.0106
0.03,0.67,1,1,0.41,203482.1889
0.84,0.33,0.5,0.5,0.7,220036.0305
0.86,0.33,1,0,0.41,365466.4528
0.29,0.33,0.5,0.5,1,125013.1451
0.61,0.67,0,1,0.63,234126.8057
0.57,0.33,1,0.5,0.79,213331.2023
0.07,0.33,1,1,0.39,91677.17431
0.16,1,0.5,0,0.86,262434.5217
0.28,0.33,0,0,0.39,184359.5381
0.68,0,0,1,0.51,323820.0406
0.15,0.33,0.5,0,0.55,97808.59675
0.86,0.67,1,0.5,0.76,298075.9524
0.34,0.67,0,0,0.35,128702.1148
0.42,0.33,1,0,0.37,129730.1974
0.9,0.67,0.5,0,0.7,326637.4753
0.54,0.67,1,0,0.3,241442.1438
0.5,0.33,0,1,0.9,259033.5696
0.22,1,0.5,0,0.52,299103.3398
0.31,1,0,1,0,127303.8574
0.5,1,1,1,0.2,210318.9029
0.13,1,1,1,0.14,188936.218
0.54,0,0.5,0.5,0.77,185380.1293
0.8,0.33,0,0.5,0.52,294176.3398
0.5,0.67,0,1,0.75,198735.7641
0.82,0.67,0,0.5,0.31,268807.8484
0,0.33,0.5,0,0.51,65228.45166
0.56,0.67,1,0.5,0.7,262087.5685
0.61,0,1,0,0.85,255398.7488
0.39,1,1,0.5,0.3,200902.121
0.44,0.33,0,1,0.92,237628.6476
0.5,0.67,0.5,1,0.76,201135.2861
0.44,0,0,0.5,0.93,327202.4144
0.69,0.67,0.5,0,0.35,313572.8518
0.02,0,0,0,0.52,161735.0896
0.43,0.67,0.5,1,0.69,135186.9409
0.41,1,0,0,0.31,206442.2525
0.47,0.33,0,1,0.73,176508.4751
0.92,1,0.5,0.5,0.54,295895.5581
0.33,1,1,0.5,0.31,215023.3833
0.13,0.67,1,0.5,0.92,145269.2037
0.18,1,0.5,1,0.38,156946.2389
0.32,0.33,0.5,0.5,0.83,246606.2725
0.56,0,1,0,0.93,194238.864
0.85,0,0,1,0.13,281991.702
0.84,0.67,1,0,0.46,258071.8801
0.33,0.33,0.5,0.5,0,149913.0106
0.06,0.33,0,1,0.51,118571.5243
0.42,0,0.5,1,0.94,258490.7949
0.91,0,1,1,0.99,237178.0369
0.81,1,0,0.5,0.93,283416.6118
0.54,0.67,1,1,0.8,234682.711
0.99,0,1,1,0.21,236267.0623
0.68,0,1,0.5,0.89,220216.9713
0.37,0.33,0,0.5,0.38,231805.2696
0.75,0.33,1,0,0.97,293908.2937
0.06,0.33,0,0,0.38,148823.0463
0.93,0,1,0,0.24,317837.8614
0.4,0.67,1,1,0.59,311154.7319
0.58,1,0.5,0.5,0.18,256000.1606
0.71,0.67,1,0,0.3,215724.195
0.97,0,0,0,0.18,249356.7367
0.51,1,0.5,0.5,0.25,223423.0823
0.83,0.67,0,1,0.25,272864.801
0.54,0,1,0.5,0.54,202344.3256
0.32,0.67,0.5,0.5,0.45,228849.2336
0.26,0,0.5,0.5,0.52,240983.242
0.89,0.33,0.5,1,0.44,289649.3015
0.4,0.67,0,0,0.18,144200.2547
0.56,0.33,0.5,0,0.31,257560.4742
0.83,0.33,0.5,1,0.35,273196.6207
